,VTM,,
Compound,20191022 126 VTM BLANK-r001,20191022 126 VTM BLANK-r002,20191022 126 VTM BLANK-r003
6.10_759.7692m/z,6504.36454,6405.044612,6375.722823
9.73_504.7967n,31224.46,30901.77068,31111.73962
2.20_84.0446m/z,27749.35608,27625.4342,27924.91936
11.62_288.1812m/z,15135.00425,15183.34928,15106.72366
9.77_761.4682m/z,28820.72626,28608.90818,28633.07566
9.39_654.4044n,31479.9083,31130.26775,31280.36658
9.27_837.4989n,31168.0482,31351.4825,30702.73523
10.08_921.5416m/z,26860.46399,26502.03516,26914.96356
9.82_796.9576n,28786.8494,29508.70177,28758.61497
10.03_676.7379n,28644.73127,28723.74684,28636.07234
9.76_712.9423m/z,30904.91671,30223.63226,31507.36624
9.51_454.2859m/z,30622.78535,30537.51694,30183.49214
9.03_573.3522n,31764.39814,31812.17667,32078.95528
5.79_430.9140m/z,25559.05489,25673.31245,25949.75044
9.86_558.6570n,27807.17025,28147.87687,28103.6204
7.05_299.0442m/z,28880.54234,29035.45675,28480.25945
9.93_625.3762m/z,29193.65973,29614.32864,29500.9035
9.98_686.7497n,28274.2083,28692.62805,28162.46351
1.67_137.0464m/z,3696.115618,3865.754969,3867.499494
5.95_685.0604m/z,17694.41975,17411.8034,17357.09191
9.22_741.4531m/z,32157.28027,32164.90704,32256.80346
13.45_369.3876m/z,1055.446322,1073.981446,1080.414717
4.27_952.3947n,0,0,0
9.80_594.3494m/z,32423.47276,33212.20905,33023.1682
9.55_548.8232m/z,33234.19446,33197.47049,32975.75743
2.07_166.0536m/z,8831.040541,8801.892659,8728.290266
9.06_402.2218m/z,33194.65859,33345.33805,33562.62622
9.41_615.8524m/z,33854.8462,33071.00795,33308.621
6.89_1091.9299m/z,28892.98183,29117.19318,28607.78256
11.93_378.2986n,33836.43704,33886.76499,34017.84385
11.86_290.2454n,20102.58297,20175.27764,20272.59196
9.71_735.9253m/z,34249.27437,33817.90314,34020.35486
9.92_581.3589m/z,32761.5337,32099.61227,32842.97295
9.70_354.0570n,33801.67349,33966.10398,34305.30999
9.44_493.2892m/z,34234.39107,34166.93107,34252.70912
9.94_649.7278n,30262.05929,30587.58247,30441.33781
9.45_329.1574m/z,13822.27836,13443.20245,13514.5653
9.74_621.3797m/z,33177.05049,32991.55211,32989.17391
5.90_758.9817m/z,25762.27138,25614.73312,25303.26427
9.82_798.4678m/z,31711.43619,31616.29593,32407.73707
9.14_586.3594m/z,35817.3191,35762.41689,35726.18319
6.97_991.8591m/z,23071.6226,23249.08105,23028.462
5.94_651.0669m/z,20502.77583,20261.28549,20060.00374
9.19_497.2388m/z,25948.05417,25940.0362,26520.3623
6.10_629.7289m/z,6100.9115,6151.767821,6117.750707
12.22_318.2784n,21489.6881,21238.31185,21672.85179
6.11_618.7379m/z,6725.189073,6780.263789,6864.246164
9.60_486.7986n,36397.5529,35146.35096,36022.72176
9.62_604.3577m/z,35748.19778,36067.62604,36238.20379
9.16_449.7418m/z,36775.74177,36727.23513,36639.14273
0.81_258.0761n,24287.98876,24445.0929,24874.91745
6.98_872.8100m/z,22995.01776,23165.18956,23053.75936
9.32_199.1309m/z,37474.93622,36856.6567,36615.44954
8.69_409.1844m/z,10061.16364,9923.945408,9931.469853
6.09_510.1783m/z,7736.808062,7846.151049,8077.830869
9.97_662.4023m/z,33528.08334,33409.45145,34036.81541
9.82_589.3523m/z,36336.08889,36147.17571,36464.04326
19.44_143.0327m/z,22708.43043,22509.34349,22644.60447
8.22_192.1361n,18184.43112,17621.8249,17698.63337
6.03_905.7151m/z,10002.24272,10043.27061,9853.915026
9.65_920.5670n,33069.55868,33191.01138,32533.07656
5.84_90.9766m/z,32004.74874,32354.16917,31934.14178
17.38_344.8755m/z,21271.11417,22504.63585,21760.16428
3.63_283.0928n,14640.31963,15061.64457,15090.86962
8.36_144.0935n,11845.5234,11804.69102,11539.57452
10.10_836.4976m/z,32293.12553,33520.25986,32656.91817
9.55_624.8570m/z,38310.56372,37973.35632,38082.10641
9.87_899.5337m/z,31732.88705,31329.34428,30493.86967
9.07_737.4201m/z,38276.27297,38005.93898,38611.80595
9.54_416.7503m/z,38726.34385,38828.90663,38571.22215
3.33_337.1059m/z,22116.88145,22355.45477,21333.17193
10.85_270.1569m/z,39146.26119,38599.46511,38748.76357
9.53_545.8313m/z,39241.88682,38549.14803,39289.99171
10.01_728.7746n,33361.41807,33005.47521,33348.86551
9.71_505.2927n,38959.83679,38322.00935,38957.63727
6.91_972.8811m/z,33585.10608,33717.75825,33301.70596
9.26_430.7490m/z,39514.2187,39427.33505,39640.54743
9.81_768.9613m/z,36844.99877,36586.14115,37289.66955
7.21_122.9248m/z,33373.64817,33518.82947,33422.82242
5.96_617.0731m/z,22609.01802,22711.34968,21945.70581
10.05_893.5251m/z,32921.43075,32449.6453,32225.40576
11.92_157.1338m/z,21399.4576,21448.69794,21017.79409
9.39_495.7947n,40482.38317,40061.43775,40083.02593
9.70_649.3985m/z,38997.65003,38636.80158,38491.66859
9.42_490.2993m/z,40274.27487,40507.31485,39904.29928
9.51_465.2711m/z,40437.98483,40189.58151,40103.47714
9.44_349.2175n,40332.67156,40645.31785,40585.45903
9.64_545.3385m/z,40253.25832,39641.14979,40853.41957
8.86_626.3518m/z,40383.91741,40970.13479,40632.19989
9.71_687.4019m/z,40302.73437,39587.00488,39850.93648
7.49_170.0332m/z,28938.51976,29095.51526,28847.18818
9.56_502.8000n,41975.3756,41337.83284,41460.39577
5.95_549.0858m/z,24167.82154,24353.40003,24171.92558
5.96_583.0794m/z,24085.81064,24050.52186,23660.51686
9.60_671.8808m/z,41744.72861,41921.95933,42593.35346
2.79_242.0789n,16320.59531,16364.10227,16725.02813
9.86_639.3871m/z,40289.3646,40636.38597,40306.58307
7.04_593.0715m/z,30626.07319,31321.48513,30712.86017
9.94_618.3814m/z,38571.35127,38594.80503,38698.07608
9.38_427.2656m/z,42343.99522,42398.41704,41959.37205
6.09_770.2588m/z,11039.91247,11224.22733,10966.1377
9.26_419.2524n,41353.23445,41429.63763,41362.15383
9.63_631.8686m/z,43649.28381,42594.71021,42884.28113
11.48_138.0915m/z,43498.40687,42976.16046,42948.27758
9.55_405.2547n,42498.08313,42378.66439,42282.16088
9.97_964.5661m/z,35211.05287,35974.44375,35959.59737
9.02_684.3975m/z,42318.28481,41636.90296,42283.06014
9.44_482.8000m/z,43282.46379,42500.24357,43136.87723
6.07_673.6928m/z,12267.52782,12270.2332,12044.52963
9.94_782.4620m/z,40298.105,40235.63498,40039.3827
9.43_560.8115m/z,45251.33263,44392.68278,44631.30271
9.76_790.9575m/z,42420.77214,41968.4128,43640.80093
9.63_593.8675m/z,43192.39955,42874.50172,43135.43538
5.97_781.1072m/z,21128.96523,21317.72219,20370.42171
9.06_749.4207m/z,45443.86749,45517.9079,46356.70333
12.21_274.2509n,27229.80032,27488.75496,27204.28795
9.90_957.5640m/z,37795.1463,38579.4566,37850.32742
9.55_538.3335m/z,44890.86565,44675.21027,44308.7501
10.96_118.1230m/z,53.1873548,98.64312363,66.34550907
9.62_629.8561n,46248.74007,45919.5959,46072.00713
9.92_909.5344m/z,37670.69214,38285.51324,36839.93389
6.09_640.2185m/z,11080.11865,11197.48916,11213.81553
11.72_346.2233m/z,23320.6389,23078.28565,23190.02346
9.37_486.2832m/z,47468.5354,46728.84993,46912.45248
5.85_362.9266m/z,40031.18206,40477.46723,39923.65077
6.88_1091.4286m/z,40365.12417,40927.10974,40366.22565
11.82_770.8503m/z,26976.03443,27751.32084,27421.74878
11.69_678.3963n,47545.73354,47777.75915,47440.47367
8.65_216.0985n,22251.81772,22195.65058,22251.69813
10.12_924.5192n,39451.57281,39480.8433,38687.92713
6.94_853.3305m/z,40400.6206,41056.6875,40184.07858
10.11_934.5516m/z,40653.07086,39771.77068,36923.86692
